category_slug|human_readable_name
Attraction/Swing_Carousel|Swing Carousel
Amenity/Grit_Bin|Grit Bin
Building/University|University
Landuse/Forest|Forest
Tourism/Zoo/Safari|Safari Zoo
Barrier/Fence/Railing|Fence Railing
Shop/Vacant|Vacant Shop
Shop/Ticket|Ticket Shop
Shop/Travel_Agency|Travel Agency
Public_Transport/Station_Tram|Tram Station
Amenity/Vending_Machine|Vending Machine
Barrier/Bollard_Line|Bollard Line
Waterway/Dam|Dam
Public_Transport/Station_Aerialway|Aerialway Station
Amenity/Toilets|Toilets
Barrier/Cycle_Barrier|Cycle Barrier
Leisure/Playground|Playground
Amenity/Shower|Shower
Amenity/Recycling|Recycling
Shop/Clothes|Clothes Shop
Building/Synagogue|Synagogue
Type/Route/Light_Rail|Light Rail Route
Type/Multipolygon|Multipolygon
Amenity/Studio|Studio
Barrier/Bollard_Line|Bollard Line
Waterway/Dam|Dam
Public_Transport/Station_Aerialway|Aerialway Station
Amenity/Toilets|Toilets
Barrier/Cycle_Barrier|Cycle Barrier
Leisure/Pitch/Horseshoes|Horseshoes Pitch
Highway/Toll_Gantry|Toll Gantry
Type/Route/Horse|Horse Route
Attraction/Bungee_Jumping|Bungee Jumping
Amenity/Place_Of_Worship/Jewish|Jewish Place of Worship
Highway/Cycleway/Crossing/Uncontrolled|Uncontrolled Cycleway Crossing
Leisure/Pitch/Gaga|Gaga Pitch
Barrier/Yes|Barrier
Amenity/Community_Centre/Lgbtq|LGBTQ Community Centre
Amenity/Restaurant/Indian|Indian Restaurant
Amenity/Clock/Sundial|Sundial
Attraction/Summer_Toboggan|Summer Toboggan
Shop/Convenience|Convenience Shop
Amenity/Fuel|Fuel Station
Shop|Shop
Barrier/Wall|Wall
Aeroway/Helipad|Helipad
Shop/Florist|Florist
Highway/Cycleway|Cycleway
Cemetery/Sector|Cemetery Sector
Shop/Craft|Craft Shop
Leisure/Pitch/Padel|Padel Pitch
Building/Roof|Roof
Amenity/Place_Of_Worship|Place of Worship
Leisure/Pitch/Paintball|Paintball Pitch
Leisure/Garden/Botanical|Botanical Garden
Amenity/Karaoke_Box|Karaoke Box
Telecom/Data_Center|Data Center
Marker|Marker
Man_Made/Surveillance/Camera|Surveillance Camera
Leisure/Bird_Hide|Bird Hide
Man_Made/Tower/Cooling|Cooling Tower
Shop/Pyrotechnics|Pyrotechnics Shop
Ford|Ford
Boundary/Administrative|Administrative Boundary
Tourism/Museum/History|History Museum
Shop/Caravan|Caravan Shop
Junction|Junction
Building/Hospital|Hospital
Aeroway/Aerodrome|Aerodrome
Highway/Motorway_Link-US-CA|US-CA Motorway Link
Power/Cable|Cable Power
Natural/Stone|Stone
Highway/Trailhead|Trailhead
Traffic_Calming/Cushion|Traffic Calming Cushion
Amenity/Vacuum_Cleaner|Vacuum Cleaner
Tourism/Artwork/Sculpture|Sculpture
Building/Apartments|Apartments
Amenity/Trolley_Bay|Trolley Bay
Railway/Buffer_Stop|Buffer Stop
Landuse/Churchyard|Churchyard
Highway/Residential|Residential Highway
highway/cycleway/crossing/marked|Marked Bicycle Crossing
highway/unclassified|Unclassified Highway
aeroway/jet_bridge|Jet Bridge
playground/funnel_ball|Funnel Ball Playground
place/islet|Islet
route/ferry|Ferry Route
amenity/atm|ATM
tourism/alpine_hut|Alpine Hut
waterway/fuel|Fuel Waterway
amenity/fast_food/pizza|Pizza Fast Food
advertising/board|Advertising Board
office/charity|Charity Office
man_made/manhole/gas|Gas Manhole
highway/emergency_access_point|Emergency Access Point
natural/water/pond|Pond
aerialway/pylon|Pylon
traffic_calming/bump|Traffic Calming Bump
amenity/give_box|Give Box
barrier/kerb/flush|Flush Kerb Barrier
amenity/social_facility/group_home|Group Home Social Facility
amenity/prep_school|Prep School
barrier/kissing_gate|Kissing Gate
leisure/adult_gaming_centre|Adult Gaming Centre
office/employment_agency|Employment Agency
leisure/nature_reserve|Nature Reserve
type/restriction/only_left_turn|Only Left Turn Restriction
highway/motorway_junction|Motorway Junction
railway/subway_entrance|Subway Entrance
shop/nutrition_supplements|Nutrition Supplements Shop
leisure/playground/indoor|Indoor Playground
boundary|Boundary
shop/paint|Paint Shop
type/route/mtb|Mountain Bike Route
shop/bookmaker|Bookmaker Shop
railway/derail|Derail Railway
type/route/subway|Subway Route
landuse/orchard|Orchard
amenity/restaurant/chinese|Chinese Restaurant
amenity/pub|Pub
natural/ridge|Ridge
amenity/dentist|Dentist
aerialway/platter|Platter Aerialway
landuse/cemetery|Cemetery
highway/path|Highway Path
shop/collector|Collector Shop
attraction/drop_tower|Drop Tower
amenity/vehicle_inspection|Vehicle Inspection
tourism/caravan_site|Caravan Site
amenity/waste_basket|Waste Basket
craft/tiler|Tiler
building/sty|Sty Building
place/city_block|City Block
railway/signal|Railway Signal
shop/laundry/self_service|Self Service Laundry Shop
man_made/wastewater_plant|Wastewater Plant
tourism/camp_pitch|Camp Pitch
shop/frozen_food|Frozen Food Shop
craft/dressmaker|Dressmaker
man_made/chimney|Chimney
shop/fuel|Fuel Shop
public_transport/platform/monorail|Monorail Platform
amenity/parking_space/disabled|Disabled Parking Space
historic/wayside_shrine|Wayside Shrine
shop/supermarket/organic|Organic Supermarket
highway/escape|Escape Highway
shop/houseware|Houseware Shop
building/church|Church Building
waterway/canal|Canal
railway/platform|Railway Platform
amenity/exhibition_centre|Exhibition Centre
shop/wigs|Wigs Shop
office/bail_bond_agent-US-PH|Bail Bond Agent Office
barrier/city_wall|City Wall Barrier
landuse/winter_sports|Winter Sports Landuse
shop/deli|Deli Shop
amenity/shelter/picnic_shelter|Picnic Shelter
amenity/planetarium|Planetarium
type/route/train|Train Route
public_transport/stop_position_light_rail|Light Rail Stop Position
natural/bare_rock|Bare Rock
amenity/dive_centre|Dive Centre
emergency/landing_site|Landing Site
office/accountant|Accountant Office
highway/busway|Busway
public_transport/stop_area|Stop Area
landuse/retail|Retail Landuse
natural/wetland/swamp|Swamp Wetland
amenity/parking|Parking Amenity
barrier/kerb/raised|Raised Kerb Barrier
power/cable/underground|Underground Cable
craft/metal_construction|Metal Construction
leisure/pitch/badminton|Badminton Pitch
building/cowshed|Cowshed Building
leisure/pitch/shooting|Shooting Pitch
highway/give_way|Give Way Highway
type/boundary/administrative|Administrative Boundary
shop/fashion_accessories|Fashion Accessories Shop
seamark/buoy_lateral|Lateral Buoy Seamark
highway/footway/access_aisle|Footway Access Aisle
leisure/pitch/funnel_ball|Funnel Ball Pitch
playground/balancebeam|Balance Beam Playground
craft/photographer|Photographer
ford_line|Ford Line
power/plant/source/method/photovoltaic|Photovoltaic Plant
shop/model|Model Shop
leisure/fitness_centre/yoga|Yoga Fitness Centre
amenity/fast_food/chicken|Chicken Fast Food
leisure/fitness_station/parallel_bars|Parallel Bars Fitness Station
building/hangar|Hangar Building
landuse/military/airfield|Airfield Military Landuse
railway/funicular|Funicular Railway
shop/fabric|Fabric Shop
tourism/artwork/installation|Installation Artwork
craft/carpet_layer|Carpet Layer
piste/downhill|Downhill Piste
type/restriction/only_right_turn|Only Right Turn Restriction
public_transport/stop_position_tram|Tram Stop Position
historic/manor|Manor
shop/clothes/underwear|Underwear Clothes Shop
leisure/pitch/netball|Netball Pitch
amenity/restaurant/pizza|Pizza Restaurant
shop/confectionery|Confectionery Shop
highway/bus_stop|Bus Stop
public_transport/station_train_halt|Train Halt Station
traffic_sign/maxspeed|Maxspeed Traffic Sign
leisure/amusement_arcade|Amusement Arcade
playground/basketswing|Basket Swing Playground
barrier/hampshire_gate|Hampshire Gate Barrier
leisure/pitch/boules|Boules Pitch
amenity/ticket_validator|Ticket Validator
amenity/recycling/container/electrical_items|Electrical Items Recycling Container
amenity|Amenity
historic/boundary_stone|Boundary Stone
piste/downhill/halfpipe|Halfpipe Downhill Piste
historic/castle/palace|Palace Castle
waterway/stream|Stream
waterway/ditch|Ditch
man_made/crane/gantry_crane|Gantry Crane
playground/trampoline|Trampoline Playground
office/physician|Physician Office
golf/cartpath|Cartpath
building/cathedral|Cathedral Building
leisure/pitch|Pitch
amenity/theatre/type/amphi|Amphi Theatre
amenity/social_facility/homeless_shelter|Homeless Shelter Social Facility
power/generator/method/photovoltaic/building/roof|Photovoltaic Generator Roof Building
advertising/column|Advertising Column
amenity/social_facility/food_bank|Food Bank Social Facility
place/suburb|Suburb
healthcare/yes|Healthcare
man_made/dyke|Water Control Barrier
craft/blacksmith|Blacksmith Shop
shop/storage_rental|Storage Rental Shop
shop/cheese|Cheese Shop
leisure/pitch/field_hockey|Field Hockey Pitch
building/ger|GER Building
type/restriction/no_right_turn|No Right Turn Restriction
aerialway/mixed_lift|Mixed Lift
shop/frame|Frame Shop
natural/wetland|Wetland
railway/tram_level_crossing|Tram Level Crossing
historic/memorial|Memorial
leisure/pitch/volleyball|Volleyball Pitch
amenity/place_of_worship/christian|Christian Place of Worship
attraction/pirate_ship|Pirate Ship Attraction
railway/light_rail|Light Rail
highway/service/emergency_access|Emergency Access Service Highway
landuse/residential|Residential Land Use
landuse/education|Education Land Use
natural/water/wastewater|Wastewater
bridge/support/pier|Pier Support Bridge
railway/halt|Railway Halt
place/farm|Farm
amenity/bbq|BBQ Amenity
craft/chimney_sweeper|Chimney Sweeper Craft
man_made/storage_tank/water|Water Storage Tank
office/therapist|Therapist Office
amenity/pharmacy|Pharmacy Amenity
natural/wetland/saltmarsh|Saltmarsh Wetland
amenity/pub/lgbtq|LGBTQ Pub Amenity
highway/traffic_mirror|Traffic Mirror Highway
building/bungalow|Bungalow Building
tourism/viewpoint|Viewpoint Tourism
shop/medical_supply|Medical Supply Shop
amenity/cafe/coffee_shop|Coffee Shop Cafe Amenity
tourism/information/terminal|Information Terminal Tourism
man_made/petroleum_well|Petroleum Well
landuse/allotments|Allotments Land Use
playground|Playground
tourism/zoo/petting|Petting Zoo Tourism
type/route/bus|Bus Route
golf/green|Golf Green
type/route/pipeline|Pipeline Route
power/plant/source/coal|Coal Power Plant
leisure/pitch/tennis|Tennis Pitch
shop/second_hand|Second Hand Shop
shop/bathroom_furnishing|Bathroom Furnishing Shop
amenity/bicycle_rental|Bicycle Rental Amenity
leisure/trampoline_park|Trampoline Park Leisure
amenity/coworking_space|Coworking Space Amenity
barrier/jersey_barrier|Jersey Barrier
barrier/chain|Chain Barrier
barrier|Barrier
natural/water/canal|Canal
amenity/vending_machine/electronics|Electronics Vending Machine Amenity
leisure/pitch/handball|Handball Pitch
highway/traffic_signals|Traffic Signals Highway
amenity/animal_breeding|Animal Breeding Amenity
craft/window_construction|Window Construction Craft
amenity/studio/television|Television Studio Amenity
highway/footway/crossing/uncontrolled|Uncontrolled Footway Crossing Highway
man_made/cutline|Cutline
shop/antiques|Antiques Shop
railway/station|Railway Station
highway/service/driveway|Driveway Service Highway
amenity/arts_centre|Arts Centre Amenity
aerialway/magic_carpet|Magic Carpet Aerialway
highway/crossing|Crossing Highway
natural/tree_stump|Tree Stump
craft/caterer|Caterer Craft
leisure/water_park|Water Park Leisure
natural/water/oxbow|Oxbow Water
man_made/storage_tank|Storage Tank
landuse/military/barracks|Military Barracks Land Use
amenity/parking/underground|Underground Parking Amenity
building/allotment_house|Allotment House Building
amenity/research_institute|Research Institute Amenity
shop/bakery|Bakery Shop
historic/tomb|Tomb
place/town|Town
building/garage|Garage Building
highway/steps|Steps Highway
man_made/breakwater|Breakwater
demolished/building|Demolished Building
leisure/garden/community|Community Garden Leisure
disused/amenity|Disused Amenity
amenity/vending_machine/ice_cubes|Ice Cubes Vending Machine Amenity
shop/watches|Watches Shop
military/checkpoint|Checkpoint
craft/beekeeper|Beekeeper Craft
tourism|Tourism
amenity/cafe/bubble_tea|Bubble Tea Cafe Amenity
landuse/military|Military Land Use
amenity/restaurant/thai|Thai Restaurant Amenity
indoor/elevator|Elevator Indoor
amenity/payment_terminal|Payment Terminal Amenity
highway/footway/crossing|Footway Crossing Highway
man_made/water_tap|Water Tap
shop/health_food|Health Food Shop
office/security|Security Office
natural/wetland/tidalflat|Tidalflat Wetland
tourism/hostel|Hostel Tourism
piste/skitour|Skitour Piste
building/warehouse|Warehouse Building
landuse/vineyard|Vineyard Land Use
craft/roofer|Roofer Craft
barrier/log|Log Barrier
attraction/dark_ride|Dark Ride Attraction
leisure/pitch/cricket|Cricket Pitch
amenity/drinking_water|Drinking Water Amenity
office/advertising_agency|Advertising Agency Office
amenity/money_transfer|Money Transfer Amenity
shop/fireplace|Fireplace Shop
leisure/pitch/chess|Chess Pitch
building/college|College Building
seamark/beacon_lateral|Beacon Lateral Seamark
man_made/tower/minaret|Minaret Tower
highway/footway/crossing|Footway Crossing Highway
shop/cosmetics|Cosmetics Shop
natural/cliff|Cliff
barrier/lift_gate|Lift Gate Barrier
shop/spices|Spices Shop
playground/water|Water Playground
type/restriction/no_left_turn|No Left Turn Restriction
amenity/conference_centre|Conference Centre Amenity
amenity/driving_school|Driving School Amenity
office/government/tax|Tax Government Office
type/restriction|Restriction Type
building/grandstand|Grandstand Building
power/minor_line|Minor Line Power
natural/water/reservoir|Reservoir
leisure/beach_resort|Beach Resort Leisure
healthcare/physiotherapist|Physiotherapist Healthcare
leisure/pitch/soccer|Soccer Pitch
healthcare|Healthcare
amenity/hospital|Hospital Amenity
amenity/bench|Bench Amenity
landuse/flowerbed|Flowerbed Land Use
highway/elevator_line|Elevator Line Highway
leisure/pitch/bowls|Bowls Pitch
aeroway/spaceport|Spaceport Aeroway
shop/household_linen|Household Linen Shop
highway/footway/conveying|Conveying Footway Highway
tourism/hotel|Hotel Tourism
railway/crossing|Crossing Railway
building/temple|Temple Building
traffic_calming|Traffic Calming
public_transport/station_ferry|Ferry Station Public Transport
playground/playhouse|Playhouse Playground
craft/boatbuilder|Boatbuilder Craft
barrier/retaining_wall|Retaining Wall
office/it|IT Office
allotments/plot|Allotment Plot
amenity/fire_station|Fire Station
landuse/grass|Grassland
shop/military_surplus|Military Surplus Shop
shop/massage|Massage Shop
highway/pedestrian_area|Pedestrian Area
craft/brewery|Brewery
polling_station|Polling Station
highway/turning_loop|Turning Loop
amenity/social_centre|Social Centre
amenity/restaurant/vietnamese|Vietnamese Restaurant
highway/service/alley|Service Alley
amenity/post_depot|Post Depot
place/quarter|Quarter
shop/flooring|Flooring Shop
indoor/corridor_line|Indoor Corridor Line
emergency/fire_extinguisher|Fire Extinguisher
amenity/place_of_worship/muslim|Muslim Place of Worship
type/public_transport/stop_area_group|Public Transport Stop Area Group
public_transport/station_bus|Bus Station
type/route/ferry|Ferry Route
man_made/water_tower|Water Tower
playground/swing|Swing Playground
shop/beauty/tanning|Tanning Shop
amenity/vending_machine/drinks|Drinks Vending Machine
shop/video_games|Video Games Shop
shop/doityourself|DIY Shop
amenity/vending_machine/fuel|Fuel Vending Machine
amenity/grave_yard|Graveyard
highway/road/bridge|Bridge
power/generator/method/photovoltaic/location/roof|Roof Photovoltaic Generator
embankment|Embankment
public_transport/platform/bus|Bus Platform
building/fire_station|Fire Station Building
amenity/post_box|Post Box
natural/geyser|Geyser
tourism/artwork/statue|Statue
office/travel_agent|Travel Agent Office
aerialway|Aerialway
amenity/public_bath|Public Bath
aerialway/rope_tow|Rope Tow
public_transport/platform/subway|Subway Platform
man_made/manhole/power|Power Manhole
highway/footway/traffic_island|Footway Traffic Island
office/foundation|Foundation Office
line|Line
landuse/basin|Basin
highway/stop|Stop
barrier/full-height_turnstile|Full-Height Turnstile
office/property_management|Property Management Office
office/yes|Yes Office
amenity/vending_machine/sweets|Sweets Vending Machine
emergency|Emergency
leisure/dog_park|Dog Park
shop/beverages|Beverages Shop
leisure/pitch/table_tennis|Table Tennis Pitch
leisure/pitch/equestrian|Equestrian Pitch
piste/hike|Hiking Piste
traffic_calming/choker|Choker
historic/memorial/plaque|Memorial Plaque
type/boundary|Boundary
telecom/exchange|Telecom Exchange
landuse/railway|Railway Land
barrier/kerb/lowered|Lowered Kerb
highway/path/boardwalk|Boardwalk
emergency/fire_alarm|Fire Alarm
shop/country_store|Country Store
amenity/animal_shelter|Animal Shelter
attraction/roller_coaster|Roller Coaster
natural/rock|Rock
man_made/tower/bell_tower|Bell Tower
type/route_master|Route Master
shop/greengrocer|Greengrocer
piste/piste|Piste
amenity/townhall/city|City Town Hall
golf/water_hazard|Water Hazard
public_transport/stop_position_train|Train Stop Position
tourism/wilderness_hut|Wilderness Hut
craft/insulator|Insulator Craft
indoor|Indoor
attraction/train|Train Attraction
highway/service|Service Highway
leisure/pitch/tetherball|Tetherball Pitch
playground/activitypanel|Activity Panel Playground
amenity/pub/microbrewery|Microbrewery Pub
traffic_calming/dip|Dip
shop/pet|Pet Shop
shop/clothes/suits|Suits Clothes Shop
shop/boutique|Boutique
highway/crossing/traffic_signals|Traffic Signals Crossing
attraction|Attraction
type/route/railway|Railway Route
landuse/military/obstacle_course|Military Obstacle Course
leisure/indoor_play|Indoor Play
public_transport/platform/light_rail_point|Light Rail Point Platform
amenity/place_of_worship/taoist|Taoist Place of Worship
amenity/nursing_home|Nursing Home
building/houseboat|Houseboat Building
shop/trade|Trade Shop
shop/boat|Boat Shop
railway/rail|Rail Railway
highway|Highway
highway/cycleway/crossing/unmarked|Unmarked Cycleway Crossing
power/plant|Power Plant
amenity/recycling_centre|Recycling Centre
natural/glacier|Glacier
amenity/toilets/disposal/flush|Flush Toilet Disposal
traffic_calming/rumble_strip|Rumble Strip
healthcare/rehabilitation|Rehabilitation Centre
amenity/vending_machine/elongated_coin|Elongated Coin Vending Machine
amenity/fast_food/hot_dog|Hot Dog Fast Food
shop/chemist|Chemist Shop
highway/footway/crossing/marked|Marked Footway Crossing
attraction/animal|Animal Attraction
amenity/townhall|Town Hall
landuse/military/range|Military Range
landuse/industrial/brewery|Brewery Industrial Land
disused/railway|Disused Railway
tourism/chalet|Chalet
railway/monorail|Monorail
amenity/vending_machine/excrement_bags|Excrement Bags Vending Machine
tourism/artwork/graffiti|Graffiti Artwork
indoor/area|Indoor Area
natural/water/river|River
amenity/recycling/container/green_waste|Green Waste Recycling Container
tourism/apartment|Apartment
office/educational_institution|Educational Institution Office
leisure/escape_game|Escape Game
power/substation|Substation
seamark|Seamark
shop/outpost|Outpost Shop
waterway/water_point|Water Point
military/bunker|Bunker
shop/chocolate|Chocolate Shop
telecom|Telecom
amenity/doctors|Doctors
traffic_calming/chicane|Chicane
highway/mini_roundabout|Mini Roundabout
Leisure/park|Park
Shop/vacuum_cleaner|Vacuum Cleaner Shop
Noexit/yes|No Exit
Man_made/utility_pole|Utility Pole
Public_transport/platform/ferry|Ferry Platform
Craft/bookbinder|Bookbinder
Type/route/trolleybus|Trolleybus Route
Building/mosque|Mosque
Amenity/veterinary|Veterinary Clinic
Aeroway/windsock|Windsock
Highway/secondary|Secondary Highway
Man_made/windmill|Windmill
Public_transport/stop_position_ferry|Ferry Stop Position
Highway/street_lamp|Street Lamp
Shop/general|General Shop
Leisure/fitness_station/horizontal_ladder|Horizontal Ladder Fitness Station
Aerialway/cable_car|Cable Car
Public_transport/stop_position_monorail|Monorail Stop Position
Shop/clothes/wedding|Wedding Clothes Shop
Leisure/fitness_station/sign|Fitness Station Sign
Type/destination_sign|Destination Sign
Railway/subway|Subway
Power/generator/source/wind|Wind Powered Generator
Amenity/telephone|Telephone
Amenity/place_of_worship/christian/quaker|Quaker Place of Worship
Power/generator|Generator
Playground/springy|Springy Playground
Office/coworking|Coworking Office
Man_made/mast/communication/mobile_phone|Mobile Phone Communication Mast
Shop/money_lender|Money Lender Shop
Man_made/cairn|Cairn
Indoor/corridor|Corridor
Power/pole|Power Pole
Amenity/cinema|Cinema
Emergency/phone|Emergency Phone
Railway|Railway
Shop/trophy|Trophy Shop
Shop/erotic|Erotic Shop
Amenity/ice_cream|Ice Cream Shop
Building/hotel|Hotel
Leisure/pitch/pickleball|Pickleball Pitch
Shop/coffee|Coffee Shop
Waterway/dock|Dock
Building/train_station|Train Station
Leisure/pitch/baseball|Baseball Pitch
Barrier/cable_barrier|Cable Barrier
Barrier/border_control|Border Control
Highway/road|Road
Amenity/monastery|Monastery
Building/boathouse|Boathouse
Leisure/sports_centre/swimming|Swimming Sports Centre
Barrier/handrail|Handrail
Craft/electrician|Electrician
Shop/tailor|Tailor Shop
Office|Office
Amenity/restaurant/japanese|Japanese Restaurant
Amenity/water_point|Water Point
Natural/water/moat|Moat
Leisure/bandstand|Bandstand
Tourism/information/route_marker|Route Marker Information Point
Office/guide|Guide Office
Indoor/wall|Wall
Leisure/outdoor_seating|Outdoor Seating
Shop/herbalist|Herbalist Shop
Highway/corridor|Highway Corridor
Natural/reef|Reef
Amenity/clock|Clock
Highway/trunk_link-US-CA|US-CA Trunk Link Highway
Shop/sewing|Sewing Shop
Historic/archaeological_site|Archaeological Site
Shop/erotic/lgbtq|LGBTQ Erotic Shop
Highway/crossing/marked|Marked Crossing
Emergency/water_reservoir|Water Reservoir
Natural/wood|Woodland
Shop/beauty|Beauty Shop
Barrier/bollard|Bollard
Historic/monument|Monument
Emergency/water_reservoir_covered|Covered Water Reservoir
Barrier/kerb|Kerb
Craft|Craft
Natural|Natural Area
Amenity/prison|Prison
Office/association|Association Office
Amenity/police|Police Station
Healthcare/counselling|Counselling Healthcare
Power/catenary_mast|Catenary Mast
Craft/sawmill|Sawmill
Landuse/military/base/navy|Navy Base
Craft/glaziery|Glaziery
Man_made/compass_rose|Compass Rose
Emergency/yes|Emergency
Shop/gift|Gift Shop
Amenity/recycling_container|Recycling Container
Type/route/hiking|Hiking Route
Shop/fashion|Fashion Shop
Man_made/works/brewery|Brewery
Man_made/tower|Tower
Amenity/dojo|Dojo
Entrance|Entrance
Railway/yard|Railway Yard
Natural/wetland/reedbed|Reedbed Wetland
Man_made/survey_point|Survey Point
Golf/tee|Golf Tee
Railway/preserved|Preserved Railway
Man_made/crane/portal_crane|Portal Crane
Office/newspaper|Newspaper Office
Shop/video|Video Shop
Shop/tyres|Tyre Shop
Power/tower|Power Tower
Amenity/bureau_de_change|Bureau de Change
Shop/alcohol|Alcohol Shop
Relation|Relation
Highway/motorway|Motorway
Natural/volcano|Volcano
Golf/driving_range|Driving Range
Barrier/rope|Rope Barrier
